Year,Team,Medal
2012,Slovakia,5
2012,Slovenia,5
2012,South Africa,9
2012,South Korea,59
2012,South Korea-1,2
2012,Spain,63
2012,Sweden,22
2012,Switzerland,4
2012,Tajikistan,1
2012,Thailand,3
2012,Trinidad and Tobago,10
2012,Tunisia,3
2012,Turkey,5
2012,Uganda,1
2012,Ukraine,26
2012,United States,238
2012,United States-1,8
2012,United States-2,2
2012,Uzbekistan,3
2012,Venezuela,1
2016,Algeria,2
2016,Argentina,22
2016,Armenia,4
2016,Australia,82
2016,Austria,2
2016,Azerbaijan,18
2016,Bahamas,6
2016,Bahrain,2
2016,Belarus,12
2016,Belgium,21
2016,Brazil,46
2016,Brazil-1,4
2016,Bulgaria,7
2016,Burundi,1
2016,Canada,69
2016,China,109
2016,China-1,4
2016,Chinese Taipei,5
2016,Colombia,8
2016,Cote d'Ivoire,2
2016,Croatia,24
2016,Cuba,11
2016,Czech Republic,13
2016,Czech Republic-1,2
2016,Denmark,41
2016,Dominican Republic,1
2016,Egypt,3
2016,Estonia,4
2016,Ethiopia,8
2016,Fiji,13
2016,Finland,1
2016,France,96
2016,Georgia,7
2016,Germany,157
2016,Germany-1,2
2016,Great Britain,145
2016,Greece,7
2016,Grenada,1
2016,Hungary,22
2016,India,2
2016,Individual Olympic Athletes,2
2016,Indonesia,2
2016,Indonesia-1,2
2016,Iran,8
2016,Ireland,3
2016,Israel,2
2016,Italy,70
2016,Italy-1,2
2016,Jamaica,30
2016,Japan,64
2016,Jordan,1
2016,Kazakhstan,18
2016,Kenya,13
2016,Kosovo,1
2016,Lithuania,7
2016,Malaysia,8
2016,Mexico,5
2016,Mongolia,2
2016,Morocco,1
2016,Netherlands,45
2016,Netherlands-1,2
2016,New Zealand,36
2016,Niger,1
2016,Nigeria,18
2016,North Korea,7
2016,Norway,19
2016,Philippines,1
2016,Poland,16
2016,Portugal,1
2016,Puerto Rico,1
2016,Qatar,1
2016,Romania,16
2016,Russia,113
2016,Russia-2,2
2016,Serbia,54
2016,Singapore,1
2016,Slovakia,8
2016,Slovenia,4
2016,South Africa,23
2016,South Korea,24
2016,South Korea-1,2
2016,Spain,43
2016,Spain-2,2
2016,Sweden,28
2016,Switzerland,11
2016,Tajikistan,1
2016,Thailand,6
2016,Trinidad and Tobago,1
2016,Tunisia,3
2016,Turkey,8
2016,Ukraine,15
2016,United Arab Emirates,1
2016,United States,256
2016,United States-1,4
2016,United States-2,4
2016,Uzbekistan,13
2016,Venezuela,3
2016,Vietnam,2
